PuzzleId,FEN,Moves,Rating,ThemeList
6JPMb,8/8/7R/p2k4/2pr1p2/2K5/PP6/8 b - - 7 54,f4f3 h6h5 d5e4 h5h4 e4e3 h4d4,1273,"[""crushing"", ""endgame"", ""long"", ""rookEndgame""]"
og7Lu,2r4k/p5p1/1p3q1p/2p2r2/4R1Q1/5R1P/1P3PPK/8 b - - 3 31,f5f3 g4c8 h8h7 g2f3 f6f3 c8g4,1835,"[""advantage"", ""endgame"", ""hangingPiece"", ""intermezzo"", ""long""]"
2wzdn,8/8/8/4N2p/5KnP/2k5/8/8 b - - 5 51,c3d4 e5g4 h5g4 f4g4 d4e5 g4g5 e5e6 g5g6 e6e7 g6g7,1597,"[""crushing"", ""defensiveMove"", ""endgame"", ""knightEndgame"", ""veryLong""]"
2EPY9,2r2rk1/3b1pb1/1q1p2pp/1p1Pp3/pQpNPPP1/P1P4P/1P2N3/1K1R3R w - e6 0 24,f4e5 d6e5 d4c6 d7c6,1736,"[""crushing"", ""middlegame"", ""short""]"
DdFUn,2r2k2/pp2pp2/3p2p1/1N1n4/7q/2P2P2/PP1Q4/1K2R3 b - - 1 29,h4c4 d2h6 f8g8 e1h1,1353,"[""crushing"", ""defensiveMove"", ""endgame"", ""short""]"
I7OJR,2R5/1q4kp/p4pp1/1bQ5/1P6/P2p1PPP/4r3/6K1 b - - 1 34,b7f3 c5f8,1362,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove""]"
ZpAaw,r3qr2/ppp1nppk/7p/4bN2/6Q1/1PN4P/1PP3P1/3RR1K1 b - - 3 20,e7f5 g4f5 g7g6 f5e5 e8e5 e1e5,994,"[""crushing"", ""long"", ""middlegame""]"
TfbqX,6k1/6pp/4p3/p2pP2r/1p1P3q/P3Q2P/1PP2R1K/8 w - - 0 39,e3f3 h5f5 f3f5 e6f5,1492,"[""crushing"", ""endgame"", ""master"", ""short""]"
FOvrR,6k1/1p3p2/3P2p1/8/R7/p1r3P1/5PKP/8 b - - 0 38,g8f8 a4a8 f8g7 d6d7,1048,"[""advancedPawn"", ""crushing"", ""endgame"", ""rookEndgame"", ""short""]"
0tGYN,8/p2q1k2/7p/2pP4/2P3RK/P5P1/8/8 b - - 4 48,d7f5 g4f4 f5f4 g3f4,1052,"[""crushing"", ""endgame"", ""pin"", ""queenRookEndgame"", ""short""]"
vEF2u,2r2rk1/pbq2pp1/1p3n1p/2b1N3/3BpP1Q/1P1BP2R/P5PP/3R2K1 w - - 0 24,e5g4 f6g4 h4g4 c5d4,2175,"[""crushing"", ""master"", ""middlegame"", ""short""]"
oTFUU,1rb2rk1/4bppp/p1B2n2/8/1q1p1B2/1P6/P1Q2PPP/RN3RK1 b - - 1 17,e7d6 a2a3 d4d3 a3b4 d3c2 f4d6,2151,"[""advantage"", ""capturingDefender"", ""long"", ""middlegame""]"
dyUOR,r2qkb1r/3nnppp/4p3/1N1pP1B1/8/5Q1P/PP3PP1/R2R2K1 b kq - 0 16,f7f6 b5d6,1546,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
q7W2b,r3kb1r/pp2nppp/q3p3/3pP3/1n1P4/P4N2/4NPPP/R1BQ1RK1 w kq - 0 13,a3b4 a6a1 d1b3 a1a6,1617,"[""advantage"", ""hangingPiece"", ""master"", ""opening"", ""short""]"
rVqet,8/7p/3R2pk/8/2R5/5bPK/4r2P/8 w - - 0 38,c4h4 h6g5 d6d5 f3d5,1925,"[""crushing"", ""defensiveMove"", ""endgame"", ""short""]"
GO5g5,1k2rbnr/2pp4/1p3p2/1N2q2p/Q7/4B3/P2K1P1P/3R4 b - - 2 23,f8c5 a4a7 b8c8 a7a8,1248,"[""mate"", ""mateIn2"", ""middlegame"", ""queensideAttack"", ""short""]"
XMOc4,8/7R/5p2/3knP2/1p6/4K3/7P/8 w - - 2 50,h7h6 e5g4 e3d3 g4h6,881,"[""crushing"", ""endgame"", ""fork"", ""master"", ""short""]"
cC5IO,r1b2rk1/p1q2ppp/1p6/4p3/4N3/1PPQ2P1/P4PP1/R3K2R b KQ - 1 16,c7d7 e4f6 g7f6 d3h7,1305,"[""discoveredAttack"", ""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""sacrifice"", ""short""]"
LZEPe,6k1/1R3pp1/7p/2p5/2B2P2/1P4PK/2r4P/3r4 b - - 5 42,d1e1 b7b8 g8h7 c4d3 g7g6 d3c2,1731,"[""crushing"", ""endgame"", ""fork"", ""long""]"
V7Mls,B4rk1/p4ppp/b2q4/2p1b3/3p4/8/PPP2PPP/R2QR1K1 w - - 3 17,a8e4 e5h2 g1h1 d6h6,1500,"[""advantage"", ""defensiveMove"", ""middlegame"", ""short""]"
cNA4r,rn2k2r/pp2ppbp/2p3p1/4qbN1/2P1p3/4B3/PP2QPPP/2KR1B1R b kq - 1 11,h7h6 d1d8 e8d8 g5f7 d8c7 f7e5,1836,"[""advantage"", ""attraction"", ""deflection"", ""fork"", ""long"", ""opening"", ""sacrifice""]"
BOCWZ,r1b1r1k1/ppp2ppp/8/8/2pqN3/P3BQ2/2P3PP/R4RK1 b - - 1 16,d4e4 f3f7 g8h8 f7f8 e8f8 f1f8,946,"[""backRankMate"", ""long"", ""mate"", ""mateIn3"", ""middlegame"", ""sacrifice""]"
entdD,1r1k2r1/ppp2p2/3p3b/1Q1P3p/8/1KP5/PP4q1/4RR2 b - - 3 29,h6d2 f1f7 c7c6 b5a5 b7b6 a5a7 g2d5 b3c2,2176,"[""crushing"", ""middlegame"", ""veryLong""]"
xZacZ,1r3r2/p1qn1pkp/1ppNp1p1/2PnP1QP/4B3/8/1P4P1/5RK1 b - - 0 26,h7h6 f1f7 f8f7 g5g6 g7h8 d6f7,1969,"[""attraction"", ""cornerMate"", ""long"", ""mate"", ""mateIn3"", ""middlegame"", ""sacrifice""]"
kwous,B1bqr1k1/n4p1p/p1pb2pB/1p6/8/2N5/PP3PPP/R2Q1RK1 w - - 2 18,d1d4 d6h2 g1h2 d8d4,989,"[""advantage"", ""discoveredAttack"", ""kingsideAttack"", ""middlegame"", ""short""]"
8QVt5,5rk1/p6p/1p6/3R4/3P2n1/P7/1r4P1/2N1R1K1 b - - 1 31,f8f2 d5g5 g8f7 g5g4,1657,"[""advantage"", ""endgame"", ""fork"", ""short""]"
sPsVY,6k1/p5r1/8/4p2Q/8/1PB5/4rqPP/6RK w - - 1 37,c3e5 f2g2 g1g2 e2e1 g2g1 e1g1,1579,"[""endgame"", ""long"", ""mate"", ""mateIn3"", ""sacrifice""]"
GSc8e,8/pkp2p2/2p1p1p1/3rP2p/5P1P/P1R3P1/1PP3r1/2K1R3 w - - 1 29,e1e4 g2g1 e4e1 g1e1,972,"[""endgame"", ""mate"", ""mateIn2"", ""rookEndgame"", ""short""]"
Muyi8,r3R2k/p4Qpr/2bq1p1p/2p5/3p4/2N5/PPP2PPP/4R1K1 b - - 7 25,c6e8 e1e8 a8e8 f7e8 d6f8 e8f8,1239,"[""kingsideAttack"", ""long"", ""mate"", ""mateIn3"", ""middlegame""]"
g9rAp,3n2k1/1p4p1/2q1p2p/3pP3/2nP4/1RPQ3P/3N2P1/5rK1 w - - 0 27,g1f1 c4d2 d3d2 c6c4 f1g1 c4b3,1235,"[""advantage"", ""clearance"", ""endgame"", ""fork"", ""long""]"
LBRJP,8/2Q2pk1/6pp/4P3/8/6PP/P2q2B1/2R1n2K w - - 5 41,g2d5 d2d5 h1g1 d5g2,1377,"[""endgame"", ""hangingPiece"", ""mate"", ""mateIn2"", ""short""]"
7ziI3,r2q1rk1/1b1p1pp1/p3p2p/1pp1N1Bn/4P3/PPNP4/1P1Q1PPP/R3R1K1 b - - 0 15,d8g5 d2g5 h6g5 e5d7 f8d8 d7c5,1406,"[""advantage"", ""long"", ""middlegame""]"
khcex,8/pp4pk/2p1p2p/3p1nr1/P4Q2/3N1PqP/1PP2RP1/6K1 b - - 3 30,g3h3 f4g5 h6g5 g2h3,1236,"[""advantage"", ""endgame"", ""short""]"
mBCuE,8/7p/p1Pk4/5p2/1P6/7P/5KP1/8 w - - 3 44,f2f3 d6c6 g2g4 f5g4 h3g4 c6b5,1180,"[""crushing"", ""endgame"", ""exposedKing"", ""long"", ""pawnEndgame""]"
b66O6,6k1/8/1p2N1P1/1Ppp1K2/P7/4r3/8/8 b - - 6 50,e3e6 f5e6 d5d4 a4a5 d4d3 a5b6,1988,"[""crushing"", ""endgame"", ""hangingPiece"", ""long"", ""master"", ""masterVsMaster""]"
MwigH,3rr1k1/pp3pp1/7p/2pPq3/2b5/4N2Q/PP3PPP/R3R1K1 w - - 0 24,e3c4 e5e1 a1e1 e8e1,481,"[""backRankMate"", ""mate"", ""mateIn2"", ""middlegame"", ""short""]"
Z591d,r1bq1knQ/1ppn2pN/1p2p3/3pPr2/1P6/P7/1BP2PPP/R3K2R b KQ - 9 19,f8e7 h8g7 f5f7 g7g5,1178,"[""crushing"", ""middlegame"", ""short""]"
3rPso,8/7p/4pPk1/3p2P1/3P3K/7R/8/3r4 w - - 5 46,h4g3 d1g1 g3f3 g1g5 f6f7 g5f5,2683,"[""crushing"", ""endgame"", ""long"", ""rookEndgame"", ""skewer""]"
pjvq4,2r3k1/r4pp1/4p2p/3PP3/p1qnQ3/1n2B3/B4PPP/1R1R2K1 b - - 1 26,e6d5 e4d4 b3d4 a2c4,2391,"[""advantage"", ""master"", ""middlegame"", ""short""]"
KFZRb,2r2k2/p4pp1/PpPNp1p1/4P3/8/6qr/1PP2KB1/R2Q1R2 w - - 3 27,f2e2 g3e3,1069,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
PQAmn,r1b1k2r/ppp2ppp/3b1n2/4n3/5B2/2P5/PP1N1PPP/R2K1BNR w kq - 4 9,g1f3 e5f3 f4d6 f3d2,1491,"[""advantage"", ""master"", ""opening"", ""short""]"
L3eCS,1r3rk1/5p1p/p2b2p1/3Bp3/1q2P2N/5RPP/1P3P2/2Q3K1 b - - 3 28,g8g7 h4f5 g6f5 c1g5 g7h8 g5f6,1791,"[""crushing"", ""long"", ""master"", ""middlegame"", ""sacrifice""]"
BnBBv,2kr4/1pp5/p1bq1ppr/P1Np1n2/3PP3/1Q4P1/1P3PB1/2R1R1K1 b - - 0 25,f5d4 b3e3 d5e4 e3h6,2009,"[""advantage"", ""fork"", ""middlegame"", ""short""]"
pcUdP,5k2/3Pq2p/2Q3pP/4P3/8/P7/KPP1b1P1/5r2 b - - 2 36,e2g4 c6a8 f8f7 d7d8q e7d8 a8d8,2603,"[""advancedPawn"", ""crushing"", ""endgame"", ""long"", ""promotion""]"
BAQPf,2r1r1k1/pp3p2/5p1p/5P2/5bP1/P1NR1b1P/1PP5/1K1R1B2 w - - 1 23,f1e2 f3e2 c3e2 e8e2,933,"[""advantage"", ""fork"", ""middlegame"", ""short""]"
YoWyj,r6r/pQ3pp1/4pk2/6p1/5n2/8/PP3PPP/2R2RK1 w - - 1 24,c1c7 f4e2 g1h1 h8h2 h1h2 a8h8,1145,"[""anastasiaMate"", ""attraction"", ""endgame"", ""long"", ""mate"", ""mateIn3"", ""sacrifice""]"
LuorO,3r1n1k/p1q3pp/1p3p2/1Q6/P1P2n2/5N1P/5PP1/1R3NK1 w - - 2 26,f1e3 f4e2 g1h1 e2c3 b5b4 c3b1,1545,"[""crushing"", ""fork"", ""long"", ""middlegame""]"
3uH7i,r1bb1rk1/pp3p1p/5P2/2Q1P1p1/2P3q1/1P6/P1P3PP/3R1R1K b - - 0 26,b7b6 c5f8 g8f8 d1d8,1261,"[""attraction"", ""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""short""]"
SX7ki,r2q1rk1/pppbbppp/2np1n2/1B6/3PPB2/2P2N2/PPQ3PP/RN3RK1 b - - 0 9,c6e5 d4e5 d6e5 b5d7,1817,"[""advantage"", ""opening"", ""short""]"
iQEzi,q2rr1k1/6pp/5p2/1p1np3/1P4Q1/P3BP2/5P1P/2RR2K1 b - - 3 31,a8a3 d1d5 a3c1 e3c1,1992,"[""advantage"", ""master"", ""middlegame"", ""short""]"
hPB36,r6k/p1pn2R1/1p3r1p/2P5/2B2q2/5b2/PPQN1n1P/2K1R3 b - - 0 21,h8g7 e1e7 f6f7 e7f7 f4f7 c4f7,1760,"[""advantage"", ""fork"", ""long"", ""middlegame""]"
kcVns,r2qr1k1/ppp4p/3p1b2/3P1p2/1PP1p3/P1N4P/3Q1nP1/R1B2RK1 w - - 0 20,f1f2 e4e3 d2e3 e8e3,1120,"[""advantage"", ""fork"", ""middlegame"", ""short""]"
kfmFA,2k1r3/ppp4p/2P1b1pq/1P2pp2/2P5/4PN1P/P2RBKP1/3R4 b - - 1 20,f5f4 d2d8 e8d8 d1d8 c8d8 c6b7,2117,"[""advancedPawn"", ""advantage"", ""long"", ""master"", ""middlegame"", ""queensideAttack"", ""sacrifice""]"
1Co28,r1q3rk/ppp2p1p/3p1p2/4n3/4P3/1P4QP/P1P2PP1/2BR1RK1 w - - 4 19,g3h4 e5f3 g1h1 f3h4,964,"[""crushing"", ""kingsideAttack"", ""middlegame"", ""pin"", ""short""]"
8vhlo,3r4/pppk4/4b1p1/8/8/7Q/q4PPP/3R2K1 b - - 6 23,d7e7 h3h4 e7f7 h4d8,1962,"[""advantage"", ""deflection"", ""endgame"", ""short"", ""skewer""]"
MMyzm,4r3/p7/2k2p2/3p1N2/2p4P/P2n2P1/5P2/R5K1 b - - 0 30,e8e2 f5d4 c6d6 d4e2,803,"[""crushing"", ""endgame"", ""fork"", ""short""]"
goNQV,6kr/pp1q3r/1b1p4/1P1P4/5p2/P2Q1BBP/6PK/5R2 w - - 0 37,g3f4 h7h3 g2h3 d7h3,1137,"[""mate"", ""mateIn2"", ""middlegame"", ""sacrifice"", ""short""]"
cabAi,8/1p6/3k2pp/PK3p2/1pp2P2/1P4PP/8/8 w - - 0 47,b5b4 c4b3 b4b3 d6c5,1719,"[""crushing"", ""defensiveMove"", ""endgame"", ""pawnEndgame"", ""short""]"
wvtgR,4rk2/p1p1qp2/1b4p1/8/2b5/1P3P2/PBQ3PP/3R3K w - - 0 27,b3c4 e7e1 d1e1 e8e1,460,"[""backRankMate"", ""endgame"", ""mate"", ""mateIn2"", ""sacrifice"", ""short""]"
97qf3,r2q1b1r/1pp2kp1/p3p1pp/2nNP3/2Q2BP1/4P2P/PPP2P2/2KR3R b - - 1 15,e6d5 d1d5 c5e6 d5d8,1373,"[""advantage"", ""middlegame"", ""pin"", ""short""]"
RP2B5,3r2k1/2N2ppp/1p3n2/8/7P/3B1b2/rPP2P2/2KR2R1 w - - 0 22,d3h7 g8h7 d1d8 a2a1 c1d2 a1g1,1535,"[""crushing"", ""long"", ""middlegame"", ""sacrifice"", ""skewer""]"
tfqX7,r6k/pp5p/2n5/7b/2Bb2pN/6P1/PPP2RP1/3R2K1 w - - 4 23,h4f5 d4f2 g1f2 a8f8 f2e3 f8f5,1275,"[""advantage"", ""long"", ""middlegame"", ""pin""]"
tsyOR,r3k2r/1p3pbp/p2P1np1/2P1n3/4p3/1N2P1Pq/PPQBNP1P/R4RK1 w kq - 5 19,e2f4 e5f3 g1h1 h3h2,1134,"[""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""short""]"
iVKNe,r1bn1k1r/ppppq1pp/5b2/3B4/2P1NQ2/1P4P1/PB2P2P/R3K2n b Q - 0 16,c7c6 e4f6 c6d5 f6d5,2107,"[""advantage"", ""discoveredAttack"", ""discoveredCheck"", ""middlegame"", ""short""]"
uw9uQ,8/6p1/8/5P1p/2K1k3/6PP/8/8 w - - 0 72,c4c5 e4f3 c5d4 f3g3 f5f6 g7f6,2032,"[""crushing"", ""endgame"", ""long"", ""pawnEndgame""]"
xTphK,6k1/Q1R2pb1/p3p1p1/1p2q2p/5P2/P2r3P/3r2PK/6R1 w - - 0 31,f4e5 g7e5 h2h1 d3h3 g2h3 d2h2,1710,"[""deflection"", ""endgame"", ""fork"", ""long"", ""mate"", ""mateIn3"", ""operaMate"", ""sacrifice""]"
bycGi,2r2r1k/1p4p1/1R5p/3Q4/P7/6P1/2q2PP1/5R1K b - - 0 33,f8f2 b6h6 g7h6 d5d4 h8g8 f1f2,1933,"[""crushing"", ""endgame"", ""long"", ""sacrifice""]"
RHhrs,r1q2rk1/ppp2ppp/6B1/8/3b4/5Q2/PP3PPP/R1B1R1K1 b - - 0 16,f7g6 f3d5 g8h8 d5d4,1108,"[""crushing"", ""fork"", ""middlegame"", ""short""]"
8Glpq,4r1k1/ppp3r1/7R/3Q2p1/2PP2R1/4q3/6P1/5K2 b - - 2 37,e8e6 h6e6 g7f7 e6f6,2227,"[""crushing"", ""endgame"", ""pin"", ""short""]"
2fjjE,6k1/3Q1pp1/2p1p3/3pP3/3P3K/5N1P/5PP1/r6q b - - 0 33,h1g2 d7e8 g8h7 f3g5,1797,"[""crushing"", ""endgame"", ""short""]"
hgHMU,r2q1rk1/1b2npbp/p2pp1p1/8/Pp1BP3/1B3N2/1PPQ1PPP/1R2K2R b K - 0 15,b7e4 d4g7 e4f3 g7f8,1422,"[""advantage"", ""middlegame"", ""short""]"
NUFeL,8/R2k1p2/2p2p1p/2p2N2/3pP1P1/4b2P/1P1r4/1K6 b - - 1 37,d7e6 a7e7,1086,"[""endgame"", ""hookMate"", ""mate"", ""mateIn1"", ""oneMove""]"
l3UpO,r1b1kb1r/1p3ppp/p1n1p3/3pP3/P2P4/1R1BPN2/6qP/1N1QK1R1 b kq - 1 14,g2a2 b1c3 a2b3 d1b3,1662,"[""crushing"", ""middlegame"", ""short"", ""trappedPiece""]"
XTQfx,r5r1/pppnk1b1/4p1Qp/6p1/4P3/3qB3/PP3PPP/3R1RK1 b - - 6 18,d7e5 e3c5 d3d6 c5d6,1527,"[""crushing"", ""middlegame"", ""short""]"
SJhqb,2kr4/ppp2Q1p/4pp2/4r3/1P1q4/P2P2PP/R1P2PR1/5K2 w - - 1 24,f7h7 d4c3 g2g1 e5e1 f1g2 e1g1 g2g1 c3e1 g1g2 e1b1,2609,"[""attraction"", ""crushing"", ""endgame"", ""veryLong""]"
